,parent,node,branch.length,label,vesicle.x,nt.x,region.x,vesicle.y,nt.y,region.y,vesicle,nt,region,label.order
399,388,399,0.748853341517736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,387,400,0.814454362093048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,334,401,1.05365091343562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,370,402,6.42131333157026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,370,403,5.57909066600155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,374,404,4.64939613097367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,374,405,2.31806217034521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,376,406,4.89814241320204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,376,407,0.520124615087268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,394,408,4.82296764649941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,362,409,1.41543494821748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,369,410,2.05205229015653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,399,411,3.43968900434613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,399,412,0.678607769568316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,400,413,2.71651775038062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,407,414,2.60739372079786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,407,415,2.06722087726092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,389,416,4.50713307642415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,389,417,2.61355496595722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,401,418,4.93101184193157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,401,419,4.09057973223262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,381,420,1.63265050684528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,381,421,1.58987871026624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,392,422,4.24123441811467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,392,423,2.73336969307947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,385,424,0.479566622934674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,386,425,3.40970742282304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,412,426,1.30970766969048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,348,427,0.982681396032311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,378,428,3.52249849462101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,378,429,2.23913828359628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
